status;id;n_013;original;013__a;013__b;013__c;013__d;260__c;n_500;500__a
TO_UPDATE;153206;1;EP1273049;EP1273049;EP;;;2003;1;French patent N°0004683  
TO_UPDATE;153208;1;FR2810159;FR2810159;FR;;;2001;1;Brevet déposé sous n. EP1290721, US2003136333, JP2003536257 + PCT
ERROR;154176;0;;;;;;2008;1;Times Cited: 0
ERROR;154177;0;;;;;;2008;1;Times Cited: 0
ERROR;154182;0;;;;;;2007;1;Times Cited: 0
ERROR;154191;0;;;;;;2006;1;Times Cited: 0
TO_UPDATE;154691;1;US2008280773;US2008280773;US;;2008;2008;0;
TO_UPDATE;154734;1;EP19990111241;EP990111241;EP;;1999;2005;0;
ERROR;154994;1;.;;;;;2010;1;Submitted
ERROR;155481;1;EP 09 090 002.8;;;;;2009;0;
ERROR;155482;1;DE 10 2008 022 349.2;;;;;2008;0;
ERROR;158071;0;;;;;;2007;11;"CAN 146:462418, 31-6, Alkaloids, Patent, written in English., 20070426, 200132-54-3 Role: CAT (Catalyst use), USES (Uses) (asym. synthesis of ecteinascidin alkaloids, such as ecteinascidins 583 and 597); 106-95-6; 121-33-5; 488-17-5; 533-31-3 (1,3-Benzodioxol-5-ol); 620-72-4; 645-33-0; 924-44-7; 2799-07-7; 2937-50-0; 17763-80-3; 49757-42-8; 81477-94-3; 102308-32-7; 934969-73-0 Role: RCT (Reactant), RACT (Reactant or reagent) (asym. synthesis of ecteinascidin alkaloids, such as ecteinascidins 583 and 597); 69404-94-0P; 111726-43-3P; 114899-80-8P (Ecteinascidin 770); 184300-08-1P (Ecteinascidin 583); 244126-22-5P; 244126-41-8P; 259220-89-8P; 308359-33-3P; 366020-68-0P; 366020-69-1P; 402469-27-6P; 686776-20-5P; 686776-22-7P; 686776-23-8P; 686776-24-9P; 686776-25-0P; 686776-27-2P; 854022-02-9P; 874758-51-7P; 874758-53-9P; 874758-54-0P; 874758-55-1P; 874758-56-2P; 874758-58-4P; 874758-59-5P; 874758-60-8P; 874758-61-9P; 874758-62-0P; 874758-63-1P; 874758-64-2P; 874758-65-3P; 874758-66-4P; 874758-67-5P; 874758-68-6P; 874758-69-7P; 874758-70-0P; 874758-71-1P; 874758-72-2P; 874758-73-3P; 874758-74-4P; 874758-76-6P; 874758-78-8P; 874758-82-4P; 925451-68-9P; 925451-73-6P; 925451-75-8P; 925451-76-9P; 925451-77-0P; 925451-78-1P; 925451-79-2P; 925451-80-5P; 925451-84-9P; 925451-85-0P; 925451-86-1P; 925451-87-2P; 925451-88-3P; 925451-89-4P; 925451-91-8P; 925451-92-9P; 925451-95-2P; 925451-96-3P; 925451-97-4P; 934969-68-3P; 934969-69-4P; 934969-71-8P; 934969-72-9P; 934969-74-1P Role: RCT (Reactant), SPN (Synthetic preparation), PREP (Preparation), RACT (Reactant or reagent) (asym. synthesis of ecteinascidin alkaloids, such as ecteinascidins 583 and 597); 114899-77-3P (Ecteinascidin 743); 184300-07-0P (Ecteinascidin 597); 934969-70-7P Role: SPN (Synthetic preparation), PREP (Preparation) (asym. synthesis of ecteinascidin alkaloids, such as ecteinascidins 583 and 597), A2, US, 2005-728295, 20051020"
TO_UPDATE;158086;1;FR 2884249;FR2884249;FR;;;2006;1;"CAN 145:397788, 34-2, Amino Acids, Peptides, and Proteins, Patent, written in French., 20061012, 55-21-0 (Benzamide); 56-45-1 (L-Serine); 67-51-6 (3,5-Dimethylpyrazole); 75-64-9; 95-48-7 (o-Cresol); 98-10-2 (Benzenesulfonamide); 103-49-1 (Dibenzylamine); 105-34-0 (Methyl cyanoacetate); 105-53-3 (Diethyl malonate); 105-56-6 (Ethyl cyanoacetate); 106-40-1 (4-Bromoaniline); 108-59-8 (Dimethyl malonate); 108-68-9 (3,5-Dimethylphenol); 108-95-2 (Phenol); 108-98-5 (Thiophenol); 109-73-9 (n-Butylamine); 109-77-3 (Malononitrile); 109-97-7 (Pyrrole); 110-89-4 (Piperidine); 110-91-8 (Morpholine); 120-72-9 (Indole); 122-39-4 (Diphenylamine); 123-75-1 (Pyrrolidine); 123-90-0 (Thiomorpholine); 142-08-5 (2-Hydroxypyridine); 143-33-9 (Sodium cyanide); 150-76-5 (4-Methoxyphenol); 151-50-8 (Potassium cyanide); 288-13-1 (Pyrazole); 288-32-4 (Imidazole); 288-88-0 (1H-1,2,4-Triazole); 497-25-6 (2-Oxazolidinone); 616-45-5 (2-Pyrrolidinone); 1534-08-3; 2577-48-2; 2577-90-4; 2759-28-6 (N-Benzylpiperazine); 15803-02-8 (1-Methyl-4-bromopyrazole); 35161-71-8 (Methylprop-2-ynylamine); 202478-34-0; 219986-64-8 (3-Trifluoromethyl-5-(p-tolyl)-1H-pyrazole); 630389-88-7 Role: RCT (Reactant), RACT (Reactant or reagent) (prepn. of beta -amino or alpha ,beta -diamino esters derived from serine); 888957-31-1P; 911404-06-3P Role: RCT (Reactant), SPN (Synthetic preparation), PREP (Preparation), RACT (Reactant or reagent) (prepn. of beta -amino or alpha ,beta -diamino esters derived from serine); 888957-42-4P; 888957-43-5P; 911404-03-0P Role: SPN (Synthetic preparation), PREP (Preparation) (prepn. of beta -amino or alpha ,beta -diamino esters derived from serine), A2, FR, 2005-3537, 20050408"
TO_UPDATE;158322;1;WO2007045686;WO2007045686;WO;;2007;2007;0;
TO_UPDATE;158352;1;EP1792904;EP1792904;EP;;;2007;0;
TO_UPDATE;158355;1;FR2865204A1;FR2865204;FR;A1;;2005;0;
TO_UPDATE;158359;1;WO 9522558;WO9522558;WO;;;1995;0;
TO_UPDATE;158693;1;U.S. Patent No. 6,203,709;US6203709;US;;;2001;0;
ERROR;158753;1;09012409.0-2217;;;;;2009;0;
TO_UPDATE;162370;1;WO2010072011-A1;WO2010072011;WO;A1;2010;2010;0;
ERROR;162937;0;;;;;;1999;20;"Copyright 2003 ACS, CAPLUS, AN 1999:690990, CAN 131:303402, 63-6, Pharmaceuticals, 1, FIELD URL:, PIXXD2, written in French., Buffers; Disease; Radiation; Solvents (soln. for diagnosing or treating tissue pathologies); Alcohols Role: NUU (Other use, unclassified), USES (Uses) (soln. for diagnosing or treating tissue pathologies); Drug delivery systems (solns.; soln. for diagnosing or treating tissue pathologies), Designated States W: CA, JP, US., Designated States RW: AT, BE, CH, CY, DE, DK, ES, FI, FR, GB, GR, IE, IT, LU, MC, NL, PT, SE., WO, 19990422., 99-CH163, A1, FR, 98-5425, Thomas, P; Phototherapie Dynamique Topique 1996, 15, 407|Chang, S; Journal of Photochemistry and Photobiology B Biology 1997, 38, 114"
TO_UPDATE;163421;1;US6404192;US6404192;US;;;2002;0;
TO_UPDATE;163422;1;WO2006074989;WO2006074989;WO;;2006;2006;0;
TO_UPDATE;163423;1;WO2008145662;WO2008145662;WO;;2008;2008;0;
TO_UPDATE;163424;1;US20090230955;US20090230955;US;;2009;2009;0;
TO_UPDATE;163425;1;US20090108838;US20090108838;US;;2009;2009;0;
TO_UPDATE;163427;1;EP10168375;EP10168375;EP;;;2010;0;
TO_UPDATE;164328;1;US 2010/0080460 A1;US20100080460;US;A1;2010;2008;0;
TO_UPDATE;164329;1;US 8315451 B2;US8315451;US;B2;;2008;0;
TO_UPDATE;164330;1;US 8249323 B2;US8249323;US;B2;;2008;0;
ERROR;164439;1;08709042.9;;;;;2010;0;
TO_UPDATE;164683;1;PCT/EP2011/055026 ;PCT/EP2011/055026 ;;;;2011;0;
TO_UPDATE;165059;1;"US2010130869-A1;DE102008051950-A1";US2010130869;US;A1;2010;2010;0;
TO_UPDATE;165089;1;"WO2005017598-A1; DE10336080-A1; US2006226374-A1";WO2005017598;WO;A1;2005;2005;0;
TO_UPDATE;165090;1;WO2010004365-A1;WO2010004365;WO;A1;2010;2010;0;
TO_UPDATE;165091;1;WO2006111909-A1;WO2006111909;WO;A1;2006;2006;0;
TO_UPDATE;165092;1;"WO2006111836-A1; EP1874181-A1; US2009118623-A1";EP1874181;EP;A1;;2006;0;
TO_UPDATE;165093;1;"WO2007085992-A1; US2009128824-A1";WO2007085992;WO;A1;2007;2007;0;
TO_UPDATE;165094;1;"WO2004104647-A1; DE10323922-A1; EP1625427-A1; JP2007500872-W; EP1625427-B1; DE502004003287-G; US2007285813-A1";EP1625427;EP;A1;;2004;0;
TO_UPDATE;165095;1;DE19927918-A1;DE927918;DE;A1;1992;2000;0;
TO_UPDATE;165096;1;"EP1225454-A2; DE10100335-A1; US2002120424-A1; JP2002243414-A; US6741948-B2; EP1225454-A3; JP2010054520-A; JP4500913-B2";EP1225454;EP;A2;;2002;0;
TO_UPDATE;165097;1;DE10206020-A1;DE10206020;DE;A1;;2003;0;
TO_UPDATE;165098;1;"WO2003060587-A; WO2003060587-A1; AU2003205981-A1; EP1466204-A1; JP2005515493-W; US2005117172-A1; EP1466204-B1; DE60320369-E; US7385709-B2; JP4256783-B2; DE60320369-T2";EP1466204;EP;A1;;2003;0;
